Algus,Kestus,Temperatuur,Pöördeid min,Kava,Veenäit enne,Veenäit pärast,Veekulu (l),kWh
2018.12.27 19:32,0:44,30,1000,lühikava,279.43900000000002,279.459,1.999999999998181,0.10000000000000001
2019.1.12 11:48,0:44,40,1000,lühikava,,,,0.29999999999999999
2019.1.12 15:13,1:54,30,1000,sünteetika,280.07100000000003,280.13400000000001,6.2999999999988177,1.5
2019.2.7 12:46,0:29,30,1000,lühikava,281.18900000000002,281.21499999999997,2.5999999999953616,0.40000000000000002
2019.2.16 21:56,0:29,30,1000,lühikava,281.52199999999999,281.54899999999998,2.6999999999986812,0.29999999999999999
2019.2.20 17:10,0:47,40,800,villapesu,281.69799999999998,281.745,4.7000000000025466,0.90000000000000002
2019.3.14 12:15,0:29,30,1000,lühikava,282.71699999999998,282.74200000000002,2.5000000000034106,0.40000000000000002
2019.4.1 20:57,0:29,30,1000,lühikava,283.39499999999998,283.42500000000001,3.0000000000029559,0.40000000000000002
2019.4.4 21:04,0:54,40,500,sünteetika,283.52199999999999,283.572,5.0000000000011369,0.80000000000000004
2019.4.6 15:02,1:54,30,1000,segakiud,283.649,283.68099999999998,3.1999999999982265,0.40000000000000002
2019.4.6 22:07,1:54,30,1000,segakiud,283.69299999999998,283.76499999999999,7.2000000000002728,0.69999999999999996
2019.4.7 11:30,0:47,30,800,käsipesu,283.80099999999999,283.86599999999999,6.4999999999997726,0.20000000000000001
2019.4.7 14:37,1:54,40,1000,segakiud,283.87400000000002,283.947,7.2999999999979082,0.80000000000000004
2019.4.13 9:06,0:47,40,800,villapesu,284.12299999999999,284.17200000000003,4.9000000000035016,0.90000000000000002
2019.4.14 11:28,0:47,30,800,villapesu,284.23399999999998,284.28399999999999,5.0000000000011369,0.20000000000000001
2019.4.15 9:51,0:47,40,800,villapesu,284.29399999999998,284.34800000000001,5.4000000000030468,1.1000000000000001
2019.4.19 15:13,2:10,60,1000,beebi,284.49799999999999,284.53699999999998,3.8999999999987267,2.2999999999999998
2019.4.25 22:31,0:47,40,800,villapesu,284.74799999999999,284.80000000000001,5.2000000000020918,0.90000000000000002
2019.5.1 16:47,0:29,30,1000,lühikava,285.00200000000001,285.05000000000001,4.8000000000001819,0.29999999999999999
2019.5.4 15:49,0:47,30,800,villapesu,285.149,285.209,6.0000000000002274,0.5
2019.6.22 16:52,0:29,30,1000,lühikava,286.85899999999998,286.88499999999999,2.6000000000010459,
2019.6.30 22:18,0:29,30,1000,lühikava,287.13900000000001,287.16899999999998,2.9999999999972715,0.40000000000000002
2019.7.1 11:44,2:48,60,1300,puuvill,287.21699999999998,,,1.3999999999999999
2019.7.4 15:33,0:54,30,400,sünteetika,287.43000000000001,287.48500000000001,5.5000000000006821,0.5
2019.7.4 19:21,0:47,40,800,villapesu,287.524,287.572,4.8000000000001819,0.80000000000000004
2019.7.5 12:27,0:47,30,800,villapesu,287.60700000000003,287.654,4.6999999999968622,0.40000000000000002
2019.7.6 13:36,1:54,40,1000,segakiud,287.69200000000001,287.72300000000001,3.1000000000005912,0.59999999999999998
2019.7.6 16:05,1:54,60,1000,sünteetika,287.73200000000003,287.80200000000002,6.9999999999993179,1
2019.7.7 13:41,0:47,30,800,käsipesu,287.83100000000002,287.87900000000002,4.8000000000001819,0.5
2019.7.7 18:51,0:47,30,800,villapesu,287.88999999999999,287.94799999999998,5.7999999999992724,0.20000000000000001
2019.7.9 13:31,3:51,40,1300,puuvill,288.04000000000002,288.07299999999998,3.2999999999958618,1.2
2019.7.10 13:30,1:54,60,1000,segakiud,288.12900000000002,288.20600000000002,7.6999999999998181,2.2999999999999998
2019.7.10 16:09,0:47,30,800,villapesu,288.26499999999999,288.31299999999999,4.8000000000001819,0.40000000000000002
2019.7.27 1:12,0:29,30,1000,lühikava,288.97699999999998,289.00400000000002,2.7000000000043656,0.20000000000000001
2019.8.3 17:23,0:29,30,1000,lühikava,289.24000000000001,289.26499999999999,2.4999999999977263,0
2019.8.8 21:31,0:29,30,1000,lühikava,289.51999999999998,289.54000000000002,2.0000000000038654,0.20000000000000001
2019.8.10 20:50,0:29,30,1000,lühikava,289.58499999999998,289.61000000000001,2.5000000000034106,0.10000000000000001
2019.8.23 18:24,0:29,30,1000,lühikava,290.07600000000002,290.10700000000003,3.1000000000005912,0.10000000000000001
2019.8.25 22:03,0:47,30,800,villapesu,290.19400000000002,290.26900000000001,7.4999999999988631,0.40000000000000002
2019.8.26 10:12,0:54,40,400,sünteetika,290.30099999999999,290.35500000000002,5.4000000000030468,0.80000000000000004
2019.9.6 9:22,0:29,30,1000,lühikava,290.66699999999997,290.69299999999998,2.6000000000010459,0.20000000000000001
2019.9.6 16:29,0:29,30,1000,lühikava,290.70400000000001,290.73899999999998,3.4999999999968168,0.10000000000000001
2019.9.8 13:29,0:29,30,1000,lühikava,290.81099999999998,290.84199999999998,3.1000000000005912,0.29999999999999999
2019.9.8 14:59,0:29,30,1000,lühikava,290.84199999999998,290.87200000000001,3.0000000000029559,0.10000000000000001
2019.9.8 15:49,0:47,30,800,villapesu,290.87200000000001,290.92700000000002,5.5000000000006821,0.20000000000000001
2019.9.8 18:47,0:47,40,800,villapesu,290.93000000000001,290.97500000000002,4.5000000000015916,0.29999999999999999
2019.9.14 17:23,0:29,30,1000,lühikava,291.18099999999998,291.20600000000002,2.5000000000034106,0.20000000000000001
2019.9.14 19:59,0:29,30,1000,lühikava,291.20600000000002,291.23399999999998,2.7999999999963165,0.10000000000000001
2019.9.14 20:53,0:47,30,800,villapesu,291.24900000000002,291.30500000000001,5.5999999999983174,0.20000000000000001
2019.9.15 11:21,0:47,40,800,villapesu,291.327,291.37200000000001,4.5000000000015916,0.80000000000000004
2019.9.15 15:51,0:47,30,800,villapesu,291.38,291.428,4.8000000000001819,0.10000000000000001
2019.9.21 10:50,0:47,30,800,villapesu,291.64100000000002,291.69099999999997,4.9999999999954525,0.40000000000000002
2019.9.21 14:03,0:47,30,800,villapesu,291.69499999999999,291.76900000000001,7.4000000000012278,0.5
2019.9.21 17:42,1:54,40,1000,segakiud,291.77600000000001,291.851,7.4999999999988631,0.5
2019.9.24 18:58,0:47,30,800,käsipesu,291.93200000000002,291.98099999999999,4.8999999999978172,0.40000000000000002
2019.9.25 18:13,1:54,40,1000,segakiud,292.01799999999997,,,0.40000000000000002
2019.9.28 11:41,0:47,30,800,villapesu,,,,0.20000000000000001
2019.9.28 13:21,0:47,30,800,villapesu,292.18200000000002,292.22699999999998,4.4999999999959073,0.20000000000000001
2019.9.28 19:41,1:54,60,1000,"segakiud, hygiene+",292.23700000000002,292.30799999999999,7.0999999999969532,0.90000000000000002
2019.9.29 10:36,2:03,40,1000,"segakiud, lisaloputus",,,,0.80000000000000004
2019.9.29 14:35,0:54,40,400,sünteetika,292.42599999999999,292.47800000000001,5.2000000000020918,0.29999999999999999
2019.9.29 16:39,2:10,90,400,autoclean,292.47800000000001,292.49799999999999,1.999999999998181,0.5
2019.9.29 18:17,0:09,,1000,drain,,,,
2019.10.1 19:47,0:47,30,800,villapesu,292.57799999999997,,,
